 acquaintance знакомый
 generous щедрый
 enthusiasm энтузиазм
 bitterly горько
 shy застенчивый
 outstanding выдающийся
 dangerous опасно
 upset расстроен
 experience опыт
 wedding свадьба
 amazing удивительно
 hospitable гостеприимный
 quite довольно
 available доступно
 accustomed привык
 achievement достижение
 confident уверенный
 certain уверен(certain)
 sure уверен(sure)
 recommendation рекомендация
 lonely одинокий
 mistake ошибка
 attempt попытка
 impressive впечатляющий
 curious любопытно
 cloudy облачно
 ill болезнь
 absent отсутствовать
 threat угроза
 unlikely маловероятно
 ahead впереди
 courageously отважно
 alternative альтернатива
 thoughtful задумчивый
 initiative инициатива
 month месяц
 excellent отлично
 sensation сенсация
 seriously серьёзно
 thrilling захватывающий
 professional профессионально
 necessary необходимо
 spacious просторно
 intention намерение
 intent намереваться
 fault вина
 disturb мешать
 guarantee гарантировать
 deserve заслужить
 boast хвастаться
 thin тонко
 thick толстый


